id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label,Q4
520383,2,This food item has a variable number of ingredients. It could contain as little as three but will often contain more and there is no upper limit.,"Week day lunch,Weekend dinner,At a party","$3.50, but I'm not sure about this because people don't often buy only one serving",I don't think of a movie when thinking of this food item,Coke,"Friends,Teachers",A little (mild),Pizza,3.5
603793,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,Home Alone,soda,"Friends,Strangers",A moderate amount (medium),Pizza,15.0
603933,3,"Around 4-5, including dough, tomato sauce, cheese, olive oil, and optional basil",At a party,3 dollars.,"""The Truman Show""",sprite,Friends,,Pizza,3.0
605519,3,6,"Week day dinner,Weekend dinner,At a party,Late night snack",5 dollars,I think of home alone. ,Dr. Pepper,"Friends,Teachers",A moderate amount (medium),Pizza,5.0
524803,3,4 or more,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3.50 ,Breaking Bad,Soda,"Friends,Teachers",,Pizza,3.5
629712,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",17,Interstellar,Coca Cola,Friends,A little (mild),Pizza,17.0
627505,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3.00 ,Rush Hour,Pepsi,"Parents,Siblings",,Pizza,3.0
526131,3,"I would expect it to contain:

* Bread

* Cheese

* Tomato Sauce

* Possibly pepperoni

* Any other toppings","Week day lunch,Weekend lunch,At a party,Late night snack",For one decently sized serving I would expect to pay $10 at most. This is based on how much I usually have to pay.,"I think about movies like ""Holes"" or ""Shrek"", since it reminds me of the movies teachers would put on for us during school events.",I would pair sweet soft drinks like Coke or Pepsi with it. This is because of how it was usually served to me at school events.,"Friends,Teachers",,Pizza,10.0
607065,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Scooby Doo,Coke,"Siblings,Friends",A little (mild),Pizza,5.0
500077,2,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Back to the Future 2,Diet coke,Teachers,,Pizza,5.0
633350,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,Ratatouille,Coke,"Friends,Teachers,Strangers",A little (mild),Pizza,4.0
601945,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",22 CAD,Princess Diaries (the apology scene),Diet Coke,"Parents,Friends,Teachers",A little (mild),Pizza,22.0
629878,3,"At least 3 (flour, olive oil, seasonings etc.)","Weekend lunch,Weekend dinner,At a party",$2 to $5,WALL-E,Water,Friends,A little (mild),Pizza,3.5
712766,4,A minimum of 5-10 ingredients are required.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3-8 dollars for one portion.,Home alone,Soft drink,"Siblings,Friends,Teachers",,Pizza,5.5
603664,2,8,"Week day lunch,At a party",16,Ratatouille,coke,Strangers,,Pizza,16.0
840827,3,6,Week day dinner,$25 ,Avengers,Coke,Friends,,Pizza,25.0
604897,3,15,"Weekend lunch,At a party",25,Teenage Mutant Ninja Turtles,soda,"Friends,Teachers,Strangers",,Pizza,25.0
525422,2,3,"Week day lunch,Weekend lunch,At a party,Late night snack",3.5,Spiderman,Soda,Friends,,Pizza,3.5
602560,3,"I believe that it depends on what kind of pizza we are talking about but just talking about most conventional and simple pizza, I would say 3 - dough, cheese, and sauce. ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","Again it depends a lot on the kind and size of pizza but talking about the most basic pizza, probably $25 !?",I think about a nice chill movie with Pizza maybe something like Hangover. ,"The only drink I ever have with pizza is coke i.e, Cola. ",Friends,A moderate amount (medium),Pizza,25.0
738379,3,Around 7-10,"Weekend lunch,At a party",$15-$25,Teenage Mutant Ninja Turtles,"Coke, iced tea.","Parents,Siblings,Friends",A little (mild),Pizza,20.0
622023,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3 ,Ninja Turtles,Coke Zero,Friends,,Pizza,3.0
604770,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,spiderman,coke,Friends,A little (mild),Pizza,5.0
608318,2,4-7,"Week day dinner,Weekend dinner,At a party,Late night snack",$5 ,Ratatouille,wine,Friends,,Pizza,5.0
626757,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 dollars,Spiderman,Pop,"Friends,Strangers",A lot (hot),Pizza,12.0
745297,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7 ,Teenage Mutant Ninja Turtles,Coke,"Parents,Friends,Teachers",,Pizza,7.0
627599,4,6,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 ,Deadpool,Diet coke,"Parents,Siblings,Friends,Teachers",,Pizza,5.0
520037,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Home Alone,Coke,"Friends,Teachers,Strangers",,Pizza,5.0
632189,2,4,"Week day lunch,Weekend lunch,At a party,Late night snack",$3 ,Spider man,Coca Cola,Friends,,Pizza,3.0
627636,3,Minimum 3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Between $4 and $7,Spy Kids 3D,Pepsi,Friends,,Pizza,5.5
295428,3,"cheese, wheat flour, some types of meat, herbs, some type of sauces.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,Squid game,soft drink,"Siblings,Friends,Teachers,Strangers",,Pizza,4.0
228777,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,running man ,Coca Cola ,Teachers,,Pizza,3.5
609278,3,6,"Week day lunch,Week day dinner,At a party,Late night snack",$5 ,Ratatouille,Soda,"Parents,Siblings,Friends,Teachers",,Pizza,5.0
614089,2,4,"Week day dinner,Weekend dinner,At a party,Late night snack",20 CAD,The Godfather,Coke,Siblings,,Pizza,20.0
607517,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",14,Recep Ivedik 2,Coke,"Siblings,Friends",A little (mild),Pizza,14.0
714607,3,6,"Week day lunch,Weekend dinner,At a party,Late night snack",$5 ,Venom,Coke,"Siblings,Friends",,Pizza,5.0
716650,4,"Many Ingredients. For each of Dough, Sauce, Toppings, there are many ingredients required. If I had to estimate, I would say around 5 for dough, 8 for sauce, and just 2 for toppings. Altogether, that would be around 15 ingredients total.","Week day dinner,At a party,Late night snack","Usually this food item comes in large quantities. Assuming that a quarter of this item is one serving, then with a full item being about $15, I would say that I would expect to pay $3.75 for one serving. ","I usually associate this item with the winter because school parties would frequently order this food item. Hence, I would say The Polar Express, Elf, and Home Alone.",I would pair some type of soda with this food item — something like a sprite or a coca-cola. ,"Friends,Teachers,Strangers",A moderate amount (medium),Pizza,9.375
497695,2,4,"Weekend dinner,At a party,Late night snack",5,Moneyball,Soda,Friends,A little (mild),Pizza,5.0
