id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
714863,3,10.0,"Weekend dinner,At a party",20,none,regular coke,Friends,None,Pizza
602805,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 Canadian Dollars,The Big Lebowski,Ice Tea,"Parents,Friends",A little (mild),Pizza
602526,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Spider Man 2,lemonade,"Parents,Siblings,Friends",None,Pizza
497421,4,4.0,"Weekend lunch,Weekend dinner,At a party",At most 30 CAD,Cloudy with a Chance of Meatballs ,Coke,Friends,None,Pizza
389328,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,Goodfellas,Red Wine,"Siblings,Friends",A moderate amount (medium),Pizza
289931,3,5.0,"Weekend lunch,Weekend dinner,At a party,Late night snack","One serving being two slices, I would expect to pay around $7",A Goofy Movie (the disney movie),Pop like Coke ,Friends,A little (mild),Pizza
620148,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,Dead Silence,Sprite,"Friends,Strangers",A moderate amount (medium),Pizza
387155,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,la la land,water,"Parents,Siblings,Friends,Strangers",A little (mild),Pizza
516975,2,21.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","$2 - $3

 ",Harry Potter & The Philosopher's Stone,Coke,Friends,None,Pizza
630825,3,6.0,"Week day dinner,At a party",8 dollar,Transformer,Soup,Parents,None,Pizza
614043,5,10.0,"Week day dinner,Weekend dinner,At a party,Late night snack",15,Ninja turtles ,Coke,"Siblings,Friends",None,Pizza
521125,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3.00 ,High School Musical 3,Root beer,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
627780,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8 ,Despicable Me,Coke,"Friends,Teachers",None,Pizza
492744,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Teenage Mutant Ninja Turtles,Soda,"Parents,Friends",A little (mild),Pizza
618747,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","If it's in a fast food pizza store, a single slice costs around $6, and a full pizza costs around $15. For a full wood-fired pizza in restaurant, it's around $25.",Toy Story,"Soft drinks. For example, 7up",Friends,None,Pizza
607815,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",30 CAD,The Godfather,Coke,"Friends,Teachers",A little (mild),Pizza
601609,4,10.0,"Weekend dinner,At a party",6,Spiderman,Diet Coke,Friends,None,Pizza
602657,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Pizza,cola,"Friends,Teachers",None,Pizza
616449,4,6.0,"Week day lunch,Week day dinner,Weekend dinner,At a party",$5 ,Teenage Mutant Ninja Turtles,Sparkling Water,"Parents,Friends",A little (mild),Pizza
501893,4,5.0,"Weekend lunch,Weekend dinner,At a party",CAD20-25,Fast & Furious,Coke,"Siblings,Friends",None,Pizza
507448,3,5.0,"Weekend dinner,At a party,Late night snack",20,Teenage Mutant Ninja Turtles,Coke,Friends,A little (mild),Pizza
606556,1,3.0,At a party,8 dollars,The Garfield Movie,Cola,Teachers,A little (mild),Pizza
724326,3,10.0,"Week day lunch,Weekend lunch,At a party",Around $3 for one slice ,"""Spider-Man: No Way Home""",Coca-Cola and iced tea,Friends,None,Pizza
616945,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,ratatouille,coca cola,Teachers,A moderate amount (medium),Pizza
630962,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10,Five Nights At Freddies,Coca Cola,"Friends,Teachers",None,Pizza
715814,2,6.0,"Week day lunch,Week day dinner,At a party","About 10 -13 CAD. Usually, it would be a good fit if the price is from 10.99 - 11.99 canadian dollars for a medium size one (that usually I can have for 2-3 meals).","Not exactly movies, but I would prefer to watch some TV series when I am having pizzas. If movies specifically, I may think of cartoon movies or more ""hero""/marvel related ones, like Teenage Mutant Ninja Turtles, movies in marvel series, etc..","All sorts of carbonated drinks(e.g. coca-cola, pepsi, mirinda series drinks, fanta series drinks etc.). Non carbonated drinks are not preferred when I am having pizzas.","Parents,Friends,Teachers",A little (mild),Pizza
502799,2,8.0,"Weekend dinner,At a party",$10 ,Back to the future,Ice tea,"Parents,Siblings,Friends",None,Pizza
605278,2,4.0,"Weekend dinner,At a party,Late night snack",$4 ,Godfather,Coke,"Friends,Teachers,Strangers",A little (mild),Pizza
388888,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Mystic Pizza,Coke,Friends,A little (mild),Pizza
519548,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Spider man 2,Coke,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
405521,4,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,futurama,coke,Friends,A moderate amount (medium),Pizza
607410,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",About $13.,Iron Man I,Orange Fanta,"Siblings,Teachers",None,Pizza
715795,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$13 ,Life of Pi,Hot chocolate,"Parents,Friends,Teachers",None,Pizza
625326,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$3 ,Avengers,Soda,"Siblings,Friends,Teachers",A little (mild),Pizza
627220,3,3.0,"Week day lunch,Weekend dinner,At a party,Late night snack",6 to 7 dollars,Despicable Me,Mountain Dew,Friends,A little (mild),Pizza
634964,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Spider-man,Beer,"Parents,Friends",None,Pizza
722500,3,10.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",$15 ,Home Alone,coke,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
602824,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15 dollars,Any American movie,Soda,"Parents,Siblings,Friends",None,Pizza
618355,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,king kong,coke,"Friends,Teachers,Strangers",None,Pizza
611097,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Home Alone,coke,"Siblings,Friends",A little (mild),Pizza
634328,2,5.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Teenage Mutant Ninja Turtles ,Soda,"Parents,Siblings,Friends",None,Pizza
607160,2,10.0,At a party,"$15 for a whole pizza

$3 for a slice",cloudy with a chance of meatballs,diet coke,Teachers,A little (mild),Pizza
728522,3,6.0,"Week day dinner,Weekend dinner,At a party,Late night snack",12,Marvel Movies,Diet Pepsi,"Siblings,Friends,Teachers",A lot (hot),Pizza
718570,3,5.0,"Week day lunch,Week day dinner,At a party",15,None,coke,"Friends,Strangers",None,Pizza
714598,4,5.0,"Week day dinner,At a party,Late night snack",4.5 cad,The Garfield Movie,Coca-cola,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
601950,3,4.0,"Week day lunch,At a party,Late night snack",3 per slide,Garfield,Coke,Friends,None,Pizza
612478,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7 ,Grown ups,Diet coke,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
501416,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around $7~15 before tax.,N/A (I don't watch a lot of movies),Carbonated soft drink,"Teachers,Strangers",A little (mild),Pizza
629710,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$15 ,deadpool,coke,"Parents,Siblings,Friends",A little (mild),Pizza
502610,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 30-40 $,Cloudy with a chance of meatball,Coca cola zero,"Parents,Siblings,Friends",None,Pizza
603476,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,whiplash,coke,"Parents,Siblings,Friends",None,Pizza
600957,2,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Home alone,Water,Siblings,None,Pizza
713423,5,15.0,"Week day dinner,Weekend dinner,At a party",CA$15,Inside Out,Coke,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
722431,2,4.0,"Week day lunch,Week day dinner,Weekend lunch,At a party","Maybe 20$, for 14'' or 16''.",Teenage Mutant Ninja Turtles.,"Orange juice, my favourite.",Friends,None,Pizza
633234,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Avengers,Coke,"Siblings,Friends,Teachers",None,Pizza
148179,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7,None,Cola,Friends,A little (mild),Pizza
715845,2,9.0,"Weekend dinner,At a party,Late night snack",$20 ,Cloudy with a Chance of Meatballs,Coke,Friends,None,Pizza
632153,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",At most $6,Ratatouille,Sparkling water,Friends,None,Pizza
606552,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","For one slice? Like 5 dollars.

For a whole pizza? 15 dollars",Superbad,Coca Cola,"Parents,Siblings,Friends",A little (mild),Pizza
738409,3,4.0,At a party,3,stranger things,pepsi,"Teachers,Strangers",None,Pizza
612096,4,6.0,"Weekend dinner,At a party",4.99,Ratatouille,Sprite,"Parents,Friends,Teachers",A lot (hot),Pizza
743537,3,5.0,"Week day lunch,Week day dinner,At a party,Late night snack",15 dollars,Pizza (2012),Coke,"Friends,Strangers",None,Pizza
632896,3,10.0,"Weekend lunch,At a party,Late night snack",I would expect to pay 7 dollars for 1 serving. ,Home Alone,Coke,"Siblings,Friends,Strangers",A little (mild),Pizza
605207,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$12 ,Teenage Mutant Ninja Turtles,Coke,Friends,None,Pizza
617542,4,3.0,"Week day dinner,Weekend dinner,At a party,Late night snack",Depends on the portion served. A full size can be around $15-30 while a piece can be $3-6.,Ninja Turtles,Coke,Friends,A little (mild),Pizza
719554,3,3.0,"Week day lunch,Late night snack",$5 ,None,Juice,"Friends,Strangers",None,Pizza
627427,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",$5.00 ,Air Bud,Soda,"Friends,Strangers",A little (mild),Pizza
411315,4,7.0,"Week day lunch,At a party,Late night snack",6,Deadpool,coke,"Friends,Strangers",A little (mild),Pizza
631507,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,A quiet place: day one (2024),Soda,Friends,I will have some of this food item with my hot sauce,Pizza
627798,3,8.0,"Week day lunch,Weekend lunch,At a party,Late night snack",$6 ,Finding Nemo,Coca Cola,Friends,A little (mild),Pizza
712093,4,10.0,"Week day lunch,Weekend lunch,At a party,Late night snack",15$,Avengers Endgame,Coca Cola,"Teachers,Strangers",A little (mild),Pizza
627488,1,10.0,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",$5 ,Ratatouille,Soda,"Friends,Teachers",A little (mild),Pizza
626493,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,My Cousin Vinny,San Pellegrino Sparkling Water,"Parents,Siblings,Friends,Teachers",None,Pizza
601363,2,6.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$12-$18,Garfield,A Ginger Ale,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza
712898,4,8.0,"Weekend dinner,At a party,Late night snack",5,Garfield,Diet Coke,Parents,None,Pizza
603398,3,10.0,"Weekend dinner,At a party,Late night snack",20 - 25 CAD,"Eat, Pray, Love",Coca-Cola,Friends,A moderate amount (medium),Pizza
631012,4,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Ratatouille,Coke,"Parents,Siblings,Friends",None,Pizza
601848,3,6.0,"Week day lunch,Weekend dinner,At a party,Late night snack",$7 ,Ratatouille,Coke with lemon,"Parents,Siblings,Friends,Teachers",None,Pizza
612131,2,5.0,"Week day dinner,Weekend dinner,At a party,Late night snack",$2 ,Home Alone,Coca-cola,"Parents,Siblings,Teachers",A little (mild),Pizza
408630,3,5.0,"Week day lunch,Weekend lunch,At a party,Late night snack",5 dollars,Five Nights at Freddy's,soda,"Siblings,Friends,Teachers",A little (mild),Pizza
632091,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15$ per pizza,No movie,A can of soda,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
601122,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,Home Alone,Coke,"Parents,Siblings,Friends,Strangers",None,Pizza
602871,2,5.0,"Week day lunch,At a party",10 cad,Spider-Man 2,Coke,Friends,A little (mild),Pizza
520828,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Teenage Mutant Ninja Turtles,Diet Coke,"Siblings,Friends",A moderate amount (medium),Pizza
514199,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4,None,Nestea,Friends,None,Pizza
389697,4,6.0,"Week day dinner,Weekend dinner,At a party,Late night snack",10,Comedy,Coke,"Friends,Teachers",A little (mild),Pizza
714430,3,10.0,"Week day lunch,Weekend lunch",10 dollars,iron man,orange juice,Friends,A little (mild),Pizza
612567,4,6.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$20 ,Star Wars,Coca cola,"Siblings,Friends",A moderate amount (medium),Pizza
744468,3,3.0,"Week day lunch,At a party",$3 ,Spider-Man,Coke,Friends,None,Pizza
502722,3,6.0,"Weekend lunch,At a party",Around $2-4 for a slice of pizza is reasonable.,Any teenage mutant ninja turtle movie,Soft cola or lemon drink,"Siblings,Friends",I will have some of this food item with my hot sauce,Pizza
519681,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,The Dark Knight,Diet Coke,Friends,None,Pizza
631125,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,Home Alone 2: Lost in New York,Coke,"Parents,Siblings",None,Pizza
606119,2,6.0,"Week day lunch,Weekend lunch,At a party,Late night snack",$5 ,Pulp fiction,Coke,Friends,None,Pizza
627252,3,8.0,"Week day dinner,Weekend dinner,At a party",$6 ,Ninja Turtles,Water,"Siblings,Friends",None,Pizza
616568,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20 dollars,fast and furious,soda,"Parents,Siblings,Friends",A little (mild),Pizza
603838,2,5.0,"Weekend lunch,Weekend dinner",10,Teenage Mutant Ninja Turtles,Soda,Friends,A moderate amount (medium),Pizza
719735,4,1.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Spiderman 2,Coke,Friends,A little (mild),Pizza
608062,2,10.0,"Weekend dinner,At a party",$2.50 ,Spider man  ,Coca cola ,"Friends,Teachers",None,Pizza
608704,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Home Alone,Coke,"Parents,Siblings,Friends,Teachers",None,Pizza
520383,2,2.0,"Week day lunch,Weekend dinner,At a party","$3.50, but I'm not sure about this because people don't often buy only one serving",I don't think of a movie when thinking of this food item,Coke,"Friends,Teachers",A little (mild),Pizza
603793,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,Home Alone,soda,"Friends,Strangers",A moderate amount (medium),Pizza
603933,3,4.0,At a party,3 dollars.,"""The Truman Show""",sprite,Friends,None,Pizza
605519,3,6.0,"Week day dinner,Weekend dinner,At a party,Late night snack",5 dollars,I think of home alone. ,Dr. Pepper,"Friends,Teachers",A moderate amount (medium),Pizza
524803,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3.50 ,Breaking Bad,Soda,"Friends,Teachers",None,Pizza
629712,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",17,Interstellar,Coca Cola,Friends,A little (mild),Pizza
627505,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3.00 ,Rush Hour,Pepsi,"Parents,Siblings",None,Pizza
526131,3,6.0,"Week day lunch,Weekend lunch,At a party,Late night snack",For one decently sized serving I would expect to pay $10 at most. This is based on how much I usually have to pay.,"I think about movies like ""Holes"" or ""Shrek"", since it reminds me of the movies teachers would put on for us during school events.",I would pair sweet soft drinks like Coke or Pepsi with it. This is because of how it was usually served to me at school events.,"Friends,Teachers",None,Pizza
607065,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Scooby Doo,Coke,"Siblings,Friends",A little (mild),Pizza
500077,2,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Back to the Future 2,Diet coke,Teachers,None,Pizza
633350,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,Ratatouille,Coke,"Friends,Teachers,Strangers",A little (mild),Pizza
601945,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",22 CAD,Princess Diaries (the apology scene),Diet Coke,"Parents,Friends,Teachers",A little (mild),Pizza
629878,3,3.0,"Weekend lunch,Weekend dinner,At a party",$2 to $5,WALL-E,Water,Friends,A little (mild),Pizza
712766,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3-8 dollars for one portion.,Home alone,Soft drink,"Siblings,Friends,Teachers",None,Pizza
603664,2,8.0,"Week day lunch,At a party",16,Ratatouille,coke,Strangers,None,Pizza
840827,3,6.0,Week day dinner,$25 ,Avengers,Coke,Friends,None,Pizza
604897,3,15.0,"Weekend lunch,At a party",25,Teenage Mutant Ninja Turtles,soda,"Friends,Teachers,Strangers",None,Pizza
525422,2,3.0,"Week day lunch,Weekend lunch,At a party,Late night snack",3.5,Spiderman,Soda,Friends,None,Pizza
602560,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","Again it depends a lot on the kind and size of pizza but talking about the most basic pizza, probably $25 !?",I think about a nice chill movie with Pizza maybe something like Hangover. ,"The only drink I ever have with pizza is coke i.e, Cola. ",Friends,A moderate amount (medium),Pizza
738379,3,7.0,"Weekend lunch,At a party",$15-$25,Teenage Mutant Ninja Turtles,"Coke, iced tea.","Parents,Siblings,Friends",A little (mild),Pizza
622023,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3 ,Ninja Turtles,Coke Zero,Friends,None,Pizza
604770,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,spiderman,coke,Friends,A little (mild),Pizza
608318,2,7.0,"Week day dinner,Weekend dinner,At a party,Late night snack",$5 ,Ratatouille,wine,Friends,None,Pizza
626757,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 dollars,Spiderman,Pop,"Friends,Strangers",A lot (hot),Pizza
745297,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7 ,Teenage Mutant Ninja Turtles,Coke,"Parents,Friends,Teachers",None,Pizza
627599,4,6.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 ,Deadpool,Diet coke,"Parents,Siblings,Friends,Teachers",None,Pizza
520037,2,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Home Alone,Coke,"Friends,Teachers,Strangers",None,Pizza
632189,2,4.0,"Week day lunch,Weekend lunch,At a party,Late night snack",$3 ,Spider man,Coca Cola,Friends,None,Pizza
627636,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Between $4 and $7,Spy Kids 3D,Pepsi,Friends,None,Pizza
295428,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,Squid game,soft drink,"Siblings,Friends,Teachers,Strangers",None,Pizza
228777,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,running man ,Coca Cola ,Teachers,None,Pizza
609278,3,6.0,"Week day lunch,Week day dinner,At a party,Late night snack",$5 ,Ratatouille,Soda,"Parents,Siblings,Friends,Teachers",None,Pizza
614089,2,4.0,"Week day dinner,Weekend dinner,At a party,Late night snack",20 CAD,The Godfather,Coke,Siblings,None,Pizza
607517,4,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",14,Recep Ivedik 2,Coke,"Siblings,Friends",A little (mild),Pizza
714607,3,6.0,"Week day lunch,Weekend dinner,At a party,Late night snack",$5 ,Venom,Coke,"Siblings,Friends",None,Pizza
716650,4,5.0,"Week day dinner,At a party,Late night snack","Usually this food item comes in large quantities. Assuming that a quarter of this item is one serving, then with a full item being about $15, I would say that I would expect to pay $3.75 for one serving. ","I usually associate this item with the winter because school parties would frequently order this food item. Hence, I would say The Polar Express, Elf, and Home Alone.",I would pair some type of soda with this food item — something like a sprite or a coca-cola. ,"Friends,Teachers,Strangers",A moderate amount (medium),Pizza
497695,2,4.0,"Weekend dinner,At a party,Late night snack",5,Moneyball,Soda,Friends,A little (mild),Pizza
496858,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","For one slice of pizza, I would expect about a dollar or two. But for full pizzas, the cost could range anywhere from $12 for a small to $20 for a large. And as always, depending on where you get your pizza (somewhere simple and cheap, or somewhere fancy), these prices might change. ","Home Alone! When the delivery guy delivers a cheese pizza ""Little Nero's Pizza"" through the back door for Kevin, when he gets stuck home alone! ","I love Kombucha, so maybe a mango or citrusy kombucha. Something carbonated!","Parents,Siblings,Friends,Teachers",A little (mild),Pizza
608688,2,3.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$2.50 ,"Inside Out, Teenage Mutant Ninja Turtles",Soda,"Parents,Siblings,Friends,Teachers",None,Pizza
604386,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20,Ratatouille,soft drink,"Parents,Friends",None,Pizza
628559,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","$5

 

$15 for whole piazza)",Avengers 1,Coke,Friends,None,Pizza
715152,3,7.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",7$,"hangover, or any teen party movies which features a lot of sweet stuff.","carbonated sweet drinks, such as cocacola, pepsi, etc",Friends,None,Pizza
604110,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Home Alone,Coca-Cola,"Parents,Friends",None,Pizza
629010,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,Coraline,Nestea,"Parents,Friends,Teachers,Strangers",A little (mild),Pizza
605254,2,5.0,"Week day dinner,At a party,Late night snack",4,None,Diet Coke,Friends,A moderate amount (medium),Pizza
628990,3,5.0,"Week day lunch,Week day dinner,At a party",$6 ,Life if Pi,Soda,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
625295,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4.00 ,Home Alone,Pop,Friends,None,Pizza
603415,3,8.0,"Week day lunch,Weekend lunch,At a party,Late night snack",$4-5,Home Alone,Soda,Friends,A little (mild),Pizza
635533,2,6.0,"Week day lunch,Late night snack",15 dollars,James Bond 007,Coke,Friends,A little (mild),Pizza
630389,1,3.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,Sam Raimi's Spider Man,Chocolate Milk,Friends,A lot (hot),Pizza
714901,4,6.0,"Week day lunch,Weekend lunch,At a party","For a single slice, I would pay $5. ",Cloudy with a Chance of Meatballs,Pepsi (or any soda),Friends,A moderate amount (medium),Pizza
629792,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","$15 (one whole pizza)

 ",the goofy movie,pop,"Parents,Siblings,Friends",None,Pizza
629025,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,Teenage Mutant Ninja Turtles,Soda,"Friends,Strangers",None,Pizza
524441,3,6.0,"Week day lunch,Weekend lunch,At a party",$10 ,Teenage Mutant Ninja Turtles,Ginger ale,"Siblings,Friends",None,Pizza
389109,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",18,Cloudy With a Chance of Meatballs,Canada Dry Ginger Ale,Friends,None,Pizza
